         44897 function calls (42377 primitive calls) in 0.867 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\proactor_events.py:624(__init__)
        2    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\concurrent\futures\thread.py:180(_adjust_thread_count)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpx\_client.py:340(build_request)
       20    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:665(format)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\urllib\request.py:319(__init__)
        6    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\dataclasses.py:412(_create_fn)
      207    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\pydantic\v1\typing.py:424(is_literal_type)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\http\cookiejar.py:1685(extract_cookies)
      378    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\contextlib.py:102(__init__)
     10/8    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\typing.py:401(__getitem__)
        2    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:560(shutdown_default_executor)
        5    0.000    0.000    0.001    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpcore\_async\http11.py:163(_send_event)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\json\decoder.py:332(decode)
        1    0.000    0.000    0.001    0.001 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\proactor_events.py:761(_make_self_pipe)
  590/173    0.000    0.000    0.001    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\typing.py:1037(__hash__)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\socket.py:615(socketpair)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\urllib\request.py:343(full_url)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\json\decoder.py:343(raw_decode)
       99    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\anyio\_backends\_asyncio.py:2356(create_cancel_scope)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\urllib\request.py:374(_parse)
        7    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\re.py:288(_compile)
       20    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1077(flush)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        2    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\re.py:249(compile)
      433    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\tasks.py:35(current_task)
        3    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\anyio\_core\_sockets.py:172(try_connect)
       93    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\h11\_state.py:275(process_event)
       10    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1585(makeRecord)
  713/185    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        2    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpcore\_async\http11.py:140(_send_request_headers)
       11    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\typing.py:1016(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:783(compile)
       10    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:283(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpx\_models.py:383(__init__)
       15    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\abc.py:105(__new__)
        3    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\anyio\_backends\_asyncio.py:2584(connect_tcp)
        3    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\dataclasses.py:529(_init_fn)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
      111    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\typing.py:1247(__hash__)
        3    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:972(create_connection)
       68    0.000    0.000    0.000    0.000 C:\Users\Rando\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:740(call_soon)
        5    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpcore\_backends\anyio.py:39(write)
      105    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\pydantic\v1\typing.py:153(_generic_get_args)
        3    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpcore\_backends\anyio.py:98(connect_tcp)
        3    0.000    0.000    0.000    0.000 C:\Users\Rando\Workspaces\gnosis-rag\venv\lib\site-packages\httpcore\_backends\auto.py:22(connect_tcp)
       20    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      190    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFD4E443920}
